@relation housing_train_cleaned

@attribute rent numeric
@attribute type {apartment,house,manufactured,townhouse,condo,duplex,flat,cottage/cabin,in-law,loft,land}
@attribute sqfeet numeric
@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute cats_allowed numeric
@attribute dogs_allowed numeric
@attribute smoking_allowed numeric
@attribute wheelchair_access numeric
@attribute electric_vehicle_charge numeric
@attribute comes_furnished numeric
@attribute laundry_options {'laundry on site','w/d hookups','w/d in unit',unknown,'laundry in bldg','no laundry on site'}
@attribute parking_options {'street parking','off-street parking',unknown,carport,'attached garage','detached garage','no parking','valet parking'}
@attribute demand {yes,no,unknown}

@data
1259,apartment,1700,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1359,apartment,1700,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
659,apartment,677,1,1,1,1,1,0,0,0,unknown,'off-street parking',yes
1359,apartment,1700,3,2,1,1,1,0,0,0,'w/d hookups',unknown,yes
925,apartment,825,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
690,apartment,716,1,1,0,0,1,0,0,0,unknown,unknown,yes
1150,apartment,1372,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
570,house,765,2,1,1,1,1,0,0,0,unknown,unknown,yes
900,apartment,1103,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
899,apartment,894,1,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1075,apartment,1179,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1125,apartment,1372,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
899,apartment,1179,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1225,apartment,1565,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
815,apartment,1133,1,1.5,1,1,1,0,0,0,'laundry on site','street parking',yes
1260,apartment,1520,3,2,1,1,1,0,0,0,unknown,unknown,yes
810,apartment,826,1,1,0,0,1,0,0,0,unknown,unknown,yes
730,apartment,906,1,1,1,1,1,0,0,0,'laundry on site',unknown,yes
919,apartment,820,1,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1251,apartment,1268,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
1326,apartment,713,1,1,1,1,1,0,0,0,'w/d in unit','attached garage',yes
665,apartment,906,1,1,1,1,1,0,0,0,'laundry on site',unknown,yes
640,house,835,2,2,0,0,1,0,0,0,unknown,unknown,yes
1189,house,2413,4,3.5,1,1,1,0,0,0,'w/d hookups','attached garage',no
1227,apartment,1177,2,2,1,1,1,0,0,0,'w/d hookups',unknown,yes
714,apartment,594,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
749,apartment,673,1,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
2200,house,1750,2,2.5,1,1,0,0,0,0,'w/d in unit','off-street parking',yes
1250,townhouse,1740,3,2.5,0,0,0,0,0,0,'w/d in unit','attached garage',yes
990,apartment,996,2,1,1,1,1,0,0,0,'w/d in unit','off-street parking',yes
919,apartment,820,1,1,1,1,1,0,0,0,'w/d in unit','off-street parking',yes
1080,apartment,1095,2,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
750,apartment,600,1,1,1,0,1,0,0,0,'laundry on site','off-street parking',yes
855,apartment,856,1,1,1,1,0,0,0,0,'w/d hookups','off-street parking',yes
695,manufactured,1088,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
700,house,1500,3,2,0,0,0,0,0,0,unknown,unknown,yes
500,house,765,3,3,0,0,1,0,0,0,unknown,unknown,yes
760,apartment,960,2,1.5,0,0,1,1,0,0,unknown,unknown,yes
900,house,2096,5,2.5,1,1,1,0,0,0,unknown,unknown,no
700,apartment,750,2,1,0,0,0,0,0,0,'w/d in unit','street parking',yes
700,apartment,950,2,1,0,0,0,0,0,0,'laundry in bldg','off-street parking',yes
610,apartment,970,3,3,0,1,1,0,0,0,unknown,unknown,yes
1100,townhouse,1910,3,2.5,0,0,0,0,0,0,'w/d hookups','attached garage',yes
695,apartment,813,1,1,1,1,1,0,0,0,unknown,unknown,yes
710,apartment,641,1,1,1,1,0,1,0,0,'w/d hookups','off-street parking',yes
700,house,1100,3,1.5,0,0,1,0,0,0,'w/d hookups',carport,yes
1030,apartment,721,1,1,1,1,1,1,0,0,'w/d in unit',unknown,yes
735,apartment,960,1,1,1,1,1,0,0,0,'w/d hookups',unknown,yes
630,apartment,960,2,1,1,1,1,0,0,0,'laundry in bldg',unknown,yes
1500,house,2600,3,2,0,0,1,0,0,0,unknown,unknown,yes
640,house,830,3,1,1,0,1,0,0,0,unknown,unknown,yes
500,house,955,2,2,0,0,1,0,0,0,unknown,unknown,yes
1025,apartment,1676,3,2.5,1,0,1,0,0,0,unknown,unknown,yes
750,house,1229,3,2,1,1,1,0,0,0,'w/d in unit','attached garage',yes
1000,house,1220,4,1.5,1,1,1,0,0,0,unknown,unknown,no
850,apartment,744,1,0,1,1,1,0,0,0,'w/d hookups','street parking',yes
1160,townhouse,1782,5,2.5,1,1,1,0,0,0,unknown,unknown,no
1235,apartment,2088,3,2,1,1,1,0,0,0,unknown,unknown,yes
1400,apartment,2100,3,2,1,1,0,0,0,0,unknown,unknown,yes
864,apartment,977,2,0,1,1,1,0,0,0,'w/d hookups','street parking',yes
795,manufactured,1088,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
510,house,1000,2,2,0,0,1,0,0,0,unknown,unknown,yes
850,apartment,724,1,0,1,1,1,0,0,0,'w/d hookups','street parking',yes
1000,house,800,4,2,1,1,0,1,1,1,unknown,unknown,no
850,apartment,724,1,1,1,1,1,0,0,0,'w/d hookups','street parking',yes
725,house,1900,3,2,1,1,1,1,0,0,'w/d hookups','off-street parking',yes
640,house,685,3,2,0,0,1,0,0,0,unknown,unknown,yes
800,house,1360,2,2,0,0,1,0,0,0,'w/d hookups','detached garage',yes
1420,apartment,1050,2,2,1,1,1,0,0,0,'w/d in unit','off-street parking',yes
1213,townhouse,1747,5,2,1,0,1,0,0,0,unknown,unknown,no
500,apartment,956,2,1,0,0,0,0,0,0,'w/d hookups','street parking',yes
725,condo,740,1,1,0,0,0,0,0,0,'w/d in unit','off-street parking',yes
799,house,1300,3,2,1,1,1,0,0,0,'w/d hookups',carport,yes
344,house,2134,0,1,0,0,1,0,0,0,unknown,unknown,yes
300,house,1159,3,2,0,0,1,0,0,0,unknown,unknown,yes
509,house,2186,3,2,0,0,1,0,0,0,unknown,unknown,yes
1160,house,1727,3,2,1,0,1,0,0,0,unknown,unknown,yes
735,apartment,960,2,1,1,1,1,0,0,0,'w/d hookups',unknown,yes
500,apartment,867,1,0,1,1,0,1,0,0,'w/d in unit','off-street parking',yes
570,house,695,3,3,1,1,1,0,0,0,unknown,unknown,yes
1000,house,1367,3,2,0,0,0,0,0,0,'w/d in unit','attached garage',yes
445,apartment,540,1,1,1,1,1,0,0,0,'laundry on site',unknown,yes
864,apartment,977,2,1.5,1,1,0,0,0,0,'w/d hookups','off-street parking',yes
550,house,930,2,2,1,1,1,0,0,0,unknown,unknown,yes
1120,apartment,1326,3,2,1,1,1,0,0,0,'w/d in unit',unknown,yes
873,apartment,923,2,1.5,1,1,0,0,0,0,'w/d hookups','off-street parking',yes
850,apartment,724,1,1,1,1,0,0,0,0,'w/d hookups','off-street parking',yes
825,apartment,649,1,1,1,1,0,0,0,0,'w/d hookups','off-street parking',yes
657,manufactured,1300,3,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
700,townhouse,1375,2,2.5,0,0,1,0,0,0,'w/d in unit','attached garage',yes
874,apartment,944,2,1.5,1,1,0,0,0,0,'w/d hookups','off-street parking',yes
809,apartment,944,2,1.5,1,1,0,0,0,0,'w/d hookups','off-street parking',yes
500,apartment,876,1,0,0,0,1,0,0,0,'w/d in unit','off-street parking',yes
839,apartment,1063,2,1.5,1,1,1,1,0,0,'laundry on site','off-street parking',yes
625,apartment,900,3,1,0,0,0,0,0,0,'w/d hookups','off-street parking',yes
645,apartment,1200,3,2,0,0,1,1,0,0,'w/d hookups','off-street parking',yes
675,manufactured,1440,3,2,0,0,0,0,0,0,'w/d hookups','off-street parking',yes
600,house,824,2,1,0,0,1,0,0,0,unknown,unknown,yes
610,apartment,630,2,1,1,1,1,0,0,0,unknown,unknown,yes
566,apartment,730,1,1,1,1,0,0,0,0,'laundry on site',unknown,yes
500,apartment,605,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
700,apartment,948,3,1,1,1,1,0,0,0,'laundry on site','street parking',yes
620,house,750,3,2,1,1,1,0,0,0,unknown,unknown,yes
495,manufactured,900,2,2,0,0,0,0,0,0,'w/d hookups','off-street parking',yes
595,manufactured,1280,3,2,0,0,0,0,0,0,'w/d hookups','off-street parking',yes
800,house,1,5,2,0,0,0,0,0,0,'w/d hookups',unknown,no
1190,house,1386,3,2.5,1,0,1,0,0,0,'w/d in unit','attached garage',yes
710,apartment,1074,3,2,0,0,0,0,0,0,'w/d hookups',unknown,yes
625,apartment,1000,2,1,0,0,0,0,0,0,'w/d hookups','off-street parking',yes
425,apartment,500,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
649,apartment,650,1,1,1,1,1,1,0,0,'laundry on site','off-street parking',yes
800,house,1700,3,1.5,1,1,0,0,0,0,'w/d hookups',carport,yes
975,house,1500,3,2,1,1,0,0,0,0,'w/d hookups',carport,yes
1200,house,2500,4,2.5,0,0,0,0,0,0,'w/d in unit','attached garage',no
700,house,1000,3,1,1,1,0,0,0,0,'w/d hookups',carport,yes
900,house,1500,3,1.5,1,1,0,0,0,0,'w/d hookups',carport,yes
720,duplex,1100,2,2,0,0,1,0,0,0,'w/d hookups','attached garage',yes
450,apartment,775,2,1,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
850,manufactured,880,2,2,0,0,0,0,0,1,unknown,'off-street parking',yes
1200,house,2416,4,2.5,0,0,1,0,0,0,'w/d hookups','attached garage',no
650,apartment,1054,2,1.5,0,0,0,0,0,0,'w/d hookups',unknown,yes
525,apartment,700,2,1,0,0,1,0,0,0,'w/d hookups','off-street parking',yes
550,apartment,550,1,1,0,0,0,0,0,0,'w/d in unit',unknown,yes
725,apartment,800,2,1,0,0,1,0,0,0,'w/d hookups','off-street parking',yes
1125,apartment,1154,3,2,1,1,1,0,0,0,unknown,unknown,yes
1475,house,1750,3,2,0,0,1,0,0,0,'w/d in unit','attached garage',yes
875,house,2500,4,2,0,0,0,0,0,0,'w/d hookups',carport,no
900,house,1176,2,1,1,1,0,0,0,0,'w/d hookups',carport,yes
850,apartment,1000,2,1.5,0,0,0,0,0,0,'w/d in unit','off-street parking',yes
625,apartment,1000,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
495,apartment,600,1,1,1,1,1,0,0,0,'w/d in unit','off-street parking',yes
595,apartment,1000,2,1.5,1,1,1,0,0,0,'laundry in bldg','street parking',yes
650,duplex,1100,2,2,0,0,0,0,0,0,'w/d hookups',carport,yes
600,apartment,980,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
500,apartment,750,2,1,0,0,0,0,0,0,'w/d hookups','off-street parking',yes
1000,house,1100,3,2,1,1,0,0,0,0,'w/d hookups',carport,yes
295,apartment,530,1,1,1,1,0,1,0,0,'laundry on site','off-street parking',yes
1500,house,1564,3,2,0,0,1,0,0,0,unknown,'attached garage',yes
550,house,1500,3,1,0,0,0,0,0,0,'w/d hookups','detached garage',yes
775,house,1500,3,1,1,1,0,0,0,0,'w/d in unit',carport,yes
1235,apartment,1396,3,0,1,1,1,0,0,0,unknown,unknown,yes
