@relation housing_train_cleaned-weka.filters.unsupervised.attribute.Remove-R3-13-weka.filters.unsupervised.attribute.Remove-V-R1-3

@attribute rent numeric
@attribute type {apartment,house,manufactured,townhouse,condo,duplex,flat,cottage/cabin,in-law,loft,land}
@attribute demand {yes,no,unknown}

@data
935,apartment,yes
1379,apartment,yes
950,apartment,yes
851,apartment,yes
1144,apartment,yes
1125,apartment,no
695,apartment,yes
800,apartment,yes
965,apartment,yes
750,apartment,yes
1310,apartment,yes
1025,apartment,yes
1429,apartment,yes
846,apartment,yes
1235,apartment,yes
695,apartment,yes
1091,apartment,yes
725,apartment,yes
485,apartment,yes
800,apartment,yes
920,apartment,yes
400,house,yes
755,apartment,yes
900,house,yes
900,condo,yes
955,apartment,yes
920,apartment,yes
851,apartment,yes
1150,duplex,yes
1095,apartment,yes
975,duplex,yes
1379,apartment,yes
964,apartment,yes
695,apartment,yes
800,house,yes
935,apartment,yes
920,apartment,yes
745,apartment,yes
715,apartment,yes
1016,apartment,yes
1050,apartment,yes
589,apartment,yes
1095,apartment,yes
1480,apartment,yes
1250,apartment,yes
995,apartment,yes
635,manufactured,yes
795,apartment,yes
965,apartment,yes
919,apartment,yes
1398,apartment,yes
790,apartment,yes
950,apartment,yes
1029,apartment,yes
810,apartment,yes
700,manufactured,yes
550,house,yes
680,apartment,yes
725,apartment,yes
735,apartment,yes
1041,apartment,yes
585,apartment,yes
895,apartment,yes
820,apartment,yes
850,apartment,yes
700,apartment,yes
950,apartment,yes
1650,house,yes
1550,house,yes
730,apartment,yes
1266,apartment,yes
725,apartment,yes
1096,apartment,yes
1100,house,yes
710,apartment,yes
829,apartment,yes
533,apartment,yes
1015,apartment,yes
970,apartment,yes
970,apartment,yes
955,apartment,yes
725,apartment,yes
695,apartment,yes
875,apartment,yes
795,apartment,yes
735,apartment,yes
905,apartment,yes
1064,apartment,yes
910,apartment,yes
1550,house,no
705,apartment,yes
810,apartment,yes
1040,apartment,yes
850,apartment,yes
875,apartment,yes
900,apartment,yes
785,apartment,yes
805,apartment,yes
660,apartment,yes
810,apartment,yes
760,apartment,yes
679,apartment,yes
855,apartment,yes
755,apartment,yes
601,apartment,yes
853,apartment,yes
910,apartment,yes
875,apartment,yes
919,apartment,yes
950,apartment,yes
700,apartment,yes
625,apartment,yes
950,house,yes
900,apartment,yes
595,apartment,yes
920,apartment,yes
1500,house,no
1500,house,yes
1200,house,yes
755,apartment,yes
720,apartment,yes
625,apartment,yes
1160,apartment,yes
850,apartment,yes
745,apartment,yes
1599,house,no
769,apartment,yes
720,apartment,yes
1350,house,yes
900,apartment,yes
1529,apartment,yes
1341,apartment,yes
935,apartment,yes
1300,house,no
725,apartment,yes
840,apartment,yes
1200,house,yes
915,apartment,yes
729,apartment,yes
630,apartment,yes
754,apartment,yes
1250,house,yes
695,apartment,yes
625,duplex,yes
1000,house,yes
519,apartment,yes
2275,apartment,yes
279,apartment,yes
1479,apartment,yes
585,apartment,yes
845,apartment,yes
835,apartment,yes
1005,apartment,yes
880,apartment,yes
935,apartment,yes
910,apartment,yes
2275,apartment,yes
860,apartment,yes
825,apartment,yes
825,apartment,yes
847,apartment,yes
745,apartment,yes
880,apartment,yes
895,townhouse,yes
960,apartment,yes
